Red,Green,Blue
0.598,0.228,0.174
0.593,0.231,0.176
0.600,0.224,0.176
0.586,0.241,0.172
0.578,0.244,0.178
0.576,0.247,0.176
0.566,0.253,0.181
0.571,0.247,0.182
0.569,0.250,0.181
0.563,0.254,0.183
0.557,0.257,0.186
0.557,0.257,0.186
0.557,0.257,0.186
0.565,0.261,0.174
0.565,0.261,0.174
0.561,0.258,0.182
0.567,0.254,0.179
0.561,0.258,0.182
0.561,0.258,0.182
0.561,0.258,0.182
0.562,0.266,0.172
0.561,0.258,0.182
0.561,0.258,0.182
0.565,0.261,0.174
0.565,0.261,0.174
0.565,0.261,0.174
0.554,0.257,0.189
0.563,0.254,0.183
0.569,0.250,0.181
0.568,0.257,0.176
0.564,0.256,0.179
0.557,0.253,0.190
0.569,0.250,0.181
0.566,0.250,0.184
0.566,0.250,0.184
0.573,0.240,0.187
0.568,0.243,0.189
0.571,0.243,0.186
0.587,0.222,0.190
0.590,0.213,0.197
0.596,0.211,0.193
0.615,0.192,0.192
0.607,0.196,0.196
0.603,0.207,0.190
0.607,0.196,0.196
0.600,0.200,0.200
0.620,0.200,0.180
0.609,0.196,0.196
0.596,0.212,0.192
0.596,0.212,0.192
0.596,0.212,0.192
0.600,0.220,0.180
0.612,0.204,0.184
0.604,0.208,0.189
0.635,0.192,0.173
0.625,0.187,0.187
0.634,0.171,0.195
0.657,0.171,0.171
0.636,0.182,0.182
0.645,0.194,0.161
0.667,0.185,0.148
0.667,0.167,0.167
0.667,0.167,0.167
0.682,0.182,0.136
0.667,0.190,0.143
0.667,0.190,0.143
0.636,0.182,0.182
0.667,0.190,0.143
0.650,0.200,0.150
0.650,0.200,0.150
0.684,0.158,0.158
0.700,0.150,0.150
0.682,0.182,0.136
0.667,0.167,0.167
0.633,0.200,0.167
0.610,0.195,0.195
0.583,0.208,0.208
0.582,0.218,0.200
0.593,0.220,0.186
0.587,0.222,0.190
0.587,0.222,0.190
0.582,0.224,0.194
0.576,0.227,0.197
0.580,0.246,0.174
0.588,0.235,0.176
0.575,0.247,0.178
0.580,0.246,0.174
0.575,0.247,0.178
0.575,0.247,0.178
0.577,0.244,0.179
0.582,0.241,0.177
0.580,0.235,0.185
0.578,0.241,0.181
0.585,0.232,0.183
0.585,0.232,0.183
0.582,0.241,0.177
0.580,0.235,0.185
0.580,0.235,0.185
0.593,0.235,0.173
