aX,aY,aZ,gX,gY,gZ
0.165,-0.124,0.983,-6.531,0.977,8.911
0.151,-0.117,0.975,-8.972,-2.380,8.789
0.155,-0.109,0.971,-10.437,-6.165,7.812
0.147,-0.106,0.967,-11.108,-9.888,6.653
0.148,-0.120,0.958,-11.719,-12.573,4.211
0.160,-0.125,0.942,-11.597,-15.381,0.916
0.167,-0.137,0.935,-10.620,-18.005,-0.671
0.165,-0.152,0.953,-8.667,-19.348,-1.221
0.171,-0.169,0.980,-6.714,-18.066,-1.709
0.183,-0.187,0.986,-5.920,-13.977,-1.038
0.173,-0.179,0.999,-4.211,-6.104,0.549
0.171,-0.172,1.010,-2.380,1.465,2.441
0.156,-0.173,1.008,-1.648,5.737,3.967
0.153,-0.174,1.004,-1.282,6.775,4.333
0.148,-0.169,1.000,-1.038,6.592,3.845
0.140,-0.170,0.999,-0.244,6.042,3.601
0.133,-0.175,1.012,1.038,6.409,2.563
0.136,-0.180,1.022,0.916,6.836,1.526
0.131,-0.184,1.025,-0.671,6.348,0.549
0.125,-0.192,1.028,-2.380,5.371,0.122
0.126,-0.199,1.029,-3.906,3.540,-0.977
0.142,-0.197,1.028,-4.456,1.404,-2.014
0.146,-0.190,1.024,-4.272,-0.793,-2.258
0.162,-0.198,1.037,-3.845,-1.892,-2.319
0.180,-0.200,1.057,-4.333,-2.930,-2.075
0.178,-0.201,1.061,-5.798,-2.686,-0.671
0.176,-0.205,1.064,-7.141,-0.183,1.099
0.180,-0.217,1.062,-7.629,3.906,2.686
0.182,-0.222,1.064,-7.751,7.385,4.150
0.185,-0.216,1.064,-8.484,9.827,5.676
0.177,-0.207,1.047,-9.766,9.094,6.714
0.173,-0.198,1.032,-9.949,7.263,7.324
0.173,-0.198,1.025,-8.484,5.310,7.141
0.177,-0.205,1.035,-6.287,3.418,6.470
0.174,-0.204,1.044,-4.761,2.197,5.920

0.712,1.549,1.447,45.654,38.757,24.414
0.989,2.078,1.596,54.932,24.292,27.710
1.153,2.518,1.740,56.458,1.953,29.236
1.086,2.796,1.838,45.654,-23.437,35.828
0.850,2.996,1.765,23.804,-39.795,48.584
0.629,3.184,1.581,-0.732,-31.189,63.232
0.366,3.436,1.329,-17.212,-4.639,81.787
-0.032,3.561,1.080,-23.315,33.630,110.596
-0.547,3.430,0.850,-19.592,73.059,131.042
-1.116,3.055,0.701,-11.658,94.055,122.009
-1.588,2.542,0.572,-4.456,82.214,80.566
-2.014,1.757,0.395,-0.244,38.269,15.137
-2.230,0.558,0.203,6.714,-7.080,-53.833
-2.177,-1.088,-0.069,3.296,-20.203,-109.924
-1.917,-2.961,-0.429,-22.461,-3.479,-150.513
-1.821,-4.000,-1.006,-36.743,12.756,-188.171
-1.518,-4.000,-1.116,26.794,19.043,-251.343
-0.093,-4.000,-0.110,191.772,-2.747,-350.952
1.098,-4.000,1.441,345.215,-109.375,-422.791
1.821,-4.000,2.642,353.821,-253.845,-395.142
2.118,-4.000,2.644,239.014,-316.345,-289.490
2.093,-3.643,2.162,106.567,-186.829,-162.842
1.597,-3.190,1.771,17.090,35.889,-64.148
0.906,-2.704,1.135,-49.255,179.199,43.457
-0.097,-2.210,0.689,-99.487,210.266,135.376
-0.845,-1.719,0.349,-123.840,144.897,171.753
-1.131,-1.179,0.009,-135.254,42.175,165.039
-1.175,-0.712,-0.255,-132.080,-23.437,145.447
-1.040,-0.477,-0.245,-107.239,-32.532,129.150
-0.816,-0.317,-0.069,-77.148,-12.268,123.047
-0.665,-0.224,0.140,-56.335,9.644,122.498
-0.533,-0.121,0.370,-44.373,21.729,119.934
