aX,aY,aZ,gX,gY,gZ
-0.121,-0.001,0.998,-2.197,3.357,6.409
-0.120,-0.005,0.991,-2.075,2.869,6.409
-0.123,-0.001,0.990,-1.587,2.808,6.714
-0.124,-0.001,0.993,-0.244,3.601,6.958
-0.134,-0.004,1.001,1.221,5.615,7.019
-0.144,-0.001,1.010,2.380,7.324,6.714
-0.148,0.002,1.015,2.747,6.958,6.165
-0.159,0.002,1.012,1.587,4.333,5.432

-1.195,0.167,-1.458,43.701,-77.332,33.752
-1.291,0.149,-1.542,60.364,-126.038,20.691
-1.345,0.159,-1.650,78.369,-192.261,10.193
-1.342,0.127,-1.723,94.666,-276.001,3.479
-1.336,0.132,-1.744,106.506,-371.826,1.404
-1.313,0.126,-1.725,115.662,-484.741,-1.587
-1.223,0.112,-1.741,119.812,-633.850,-7.446
-1.173,0.112,-1.679,116.577,-826.172,-11.292
-1.179,-0.013,-1.496,98.511,-1048.096,0.549
-1.325,-0.189,-1.333,69.336,-1282.959,32.349
-1.518,-0.238,-1.139,52.124,-1482.971,77.087
-1.709,-0.013,-1.104,46.143,-1620.544,112.366
-1.922,0.197,-1.033,46.814,-1676.941,122.803
-2.067,0.220,-0.733,76.233,-1648.071,101.624
-2.127,0.203,-0.147,141.968,-1535.583,54.993
-1.932,0.056,0.718,220.764,-1348.755,-16.541
-1.468,-0.033,1.476,267.944,-1136.963,-99.731
-0.971,-0.128,1.871,265.076,-934.509,-156.738
-0.417,-0.258,2.284,214.539,-737.976,-159.851
0.143,-0.242,2.322,147.949,-564.392,-106.934
0.254,-0.105,1.956,85.999,-414.673,-27.405
-0.051,-0.101,1.588,36.133,-276.550,55.969
-0.456,-0.116,1.344,7.080,-161.194,125.305
-0.914,-0.044,1.133,16.235,-89.844,150.146
-1.148,0.037,1.054,57.129,-53.833,129.517
-1.078,0.122,1.190,102.966,-41.809,81.116
-0.841,0.148,1.366,119.812,-56.641,33.936
-0.594,0.104,1.448,96.680,-91.980,6.348
-0.419,0.005,1.424,59.692,-122.192,-4.211
-0.296,-0.069,1.375,35.889,-125.427,-6.958
-0.198,-0.121,1.348,26.733,-101.379,-5.127
-0.165,-0.163,1.321,22.217,-65.369,1.465
-0.158,-0.205,1.230,20.142,-32.349,12.268
-0.157,-0.196,1.123,17.578,-13.733,18.555
-0.172,-0.187,1.030,14.771,-12.451,18.250
-0.170,-0.174,0.983,14.709,-21.606,11.841
-0.128,-0.150,0.981,18.860,-33.630,2.136
-0.106,-0.124,1.016,23.071,-41.443,-5.249
-0.091,-0.104,1.081,24.109,-39.673,-8.667
-0.093,-0.073,1.137,22.766,-29.175,-9.644
-0.091,-0.057,1.162,18.860,-15.930,-8.728
-0.065,-0.057,1.151,12.207,-5.554,-7.202
-0.064,-0.049,1.119,7.019,0.671,-5.554
-0.043,-0.032,1.093,5.249,6.958,-4.517
-0.028,-0.038,1.059,3.113,12.451,-4.883
0.002,-0.045,1.002,0.732,11.963,-6.409
0.030,-0.034,0.971,0.305,7.141,-8.118
0.059,-0.026,0.965,1.892,2.197,-8.972
0.087,-0.018,0.968,4.211,-0.977,-9.705
0.116,-0.022,0.985,5.066,-2.441,-9.277
0.125,-0.020,1.002,3.357,-4.395,-6.165
0.111,-0.014,1.018,-0.671,-5.981,-2.625
0.089,-0.016,1.025,-4.578,-6.409,-0.671
0.068,-0.021,1.024,-7.446,-5.920,0.488
0.057,-0.019,1.015,-8.789,-6.775,1.343
0.049,-0.016,1.006,-9.338,-8.118,2.747
0.048,-0.016,0.997,-8.118,-9.521,3.723
0.037,-0.015,1.003,-5.737,-10.864,5.127
0.022,-0.008,1.008,-4.700,-13.123,6.531
0.001,-0.001,1.029,-3.784,-14.771,7.202
-0.024,0.007,1.051,-1.282,-14.038,6.592
-0.041,0.016,1.080,0.366,-11.841,5.188
-0.056,0.022,1.098,0.427,-9.521,3.357
-0.059,0.016,1.096,-1.343,-7.629,1.221
-0.056,0.019,1.082,-3.662,-6.897,-0.549
-0.057,0.014,1.066,-4.395,-5.371,-1.770
-0.048,0.001,1.047,-3.845,-2.014,-2.380
-0.040,-0.007,1.040,-2.319,1.770,-2.747
-0.035,-0.028,1.035,-1.282,4.089,-2.991
-0.021,-0.039,1.037,-1.282,3.418,-2.625
-0.017,-0.046,1.040,-1.770,1.770,-2.319
-0.012,-0.062,1.040,-2.625,1.282,-2.380
0.000,-0.064,1.030,-2.869,2.136,-2.197
0.008,-0.067,1.024,-3.235,3.906,-1.099
0.010,-0.063,1.012,-3.845,5.920,1.099
0.007,-0.061,1.001,-4.700,7.446,2.747
-0.002,-0.056,0.995,-5.554,7.751,4.700
-0.023,-0.045,0.990,-5.676,7.446,5.920
-0.029,-0.041,0.977,-5.371,6.653,6.409
-0.038,-0.035,0.971,-5.005,3.906,6.287
-0.045,-0.029,0.973,-4.333,1.160,6.042
-0.040,-0.030,0.973,-2.991,-0.671,5.371
-0.035,-0.028,0.984,-1.831,-2.502,4.944
-0.039,-0.020,0.995,0.183,-3.296,4.700
-0.044,-0.010,1.004,1.831,-1.831,5.127
-0.052,-0.001,1.020,3.235,0.793,5.981
-0.078,0.011,1.041,4.089,3.845,6.409
-0.081,0.020,1.038,3.723,5.798,5.798
-0.083,0.019,1.025,1.465,4.761,4.517
-0.090,0.019,1.022,-0.366,2.502,3.174
-0.089,0.012,1.013,-1.099,0.610,1.587
-0.076,-0.001,0.998,-1.831,-4.578,-0.366
-0.079,-0.005,1.006,-2.869,-11.475,-1.587
-0.077,-0.005,1.025,-1.831,-15.259,-2.075
-0.074,-0.010,1.047,0.610,-13.367,-2.319
-0.064,-0.015,1.066,3.174,-6.775,-2.441
-0.050,-0.022,1.073,5.127,1.099,-2.258
-0.043,-0.027,1.075,6.165,7.996,-0.977
-0.051,-0.017,1.074,6.165,13.611,1.038
-0.052,-0.041,1.068,5.188,16.846,2.869
-0.053,-0.031,1.035,3.235,13.306,3.235
-0.066,-0.028,1.030,0.977,6.042,3.052
-0.066,-0.033,1.040,-0.305,0.610,1.892
-0.056,-0.033,1.051,0.061,-2.136,-0.061
-0.049,-0.035,1.064,0.366,-2.319,-1.160
-0.040,-0.038,1.071,0.244,-0.427,-1.282
-0.030,-0.040,1.066,-0.122,2.014,-1.160
-0.019,-0.045,1.054,-0.244,5.493,-0.427
-0.011,-0.047,1.040,-0.244,8.850,0.427
-0.015,-0.047,1.028,0.305,11.414,1.465
-0.011,-0.049,1.015,0.732,12.268,3.174
-0.015,-0.044,1.016,0.732,11.597,4.822
-0.028,-0.038,1.019,0.732,10.559,5.615
-0.032,-0.035,1.019,0.610,9.460,5.920
-0.032,-0.029,1.015,0.122,7.202,5.432
-0.032,-0.024,1.008,-0.916,4.028,5.005
-0.037,-0.020,1.002,-1.587,1.221,4.456
-0.042,-0.019,1.006,-1.038,0.671,3.662
-0.045,-0.014,1.006,0.061,0.977,2.380

-0.836,0.191,-1.641,41.016,-282.227,-10.071
-0.771,0.180,-1.642,50.232,-342.773,-29.053
-0.709,0.160,-1.593,46.753,-429.687,-40.405
-0.643,0.127,-1.545,33.020,-548.950,-44.434
-0.577,0.126,-1.477,14.160,-698.425,-46.448
-0.549,0.038,-1.306,-9.338,-864.563,-40.283
-0.525,-0.103,-1.093,-31.372,-1028.992,-21.912
-0.540,-0.259,-0.868,-51.147,-1176.270,9.705
-0.597,-0.282,-0.685,-66.284,-1284.180,52.856
-0.666,-0.218,-0.496,-68.665,-1332.886,99.243
-0.743,-0.120,-0.381,-43.091,-1320.007,124.146
-0.804,-0.011,-0.155,2.380,-1259.216,111.328
-0.796,0.133,0.187,46.143,-1166.931,71.106
-0.762,0.251,0.621,82.947,-1055.481,18.188
-0.539,0.319,0.921,106.995,-934.692,-38.269
-0.391,0.339,1.179,97.290,-819.641,-90.088
-0.263,0.205,1.297,70.007,-713.867,-121.521
-0.027,0.075,1.365,39.429,-627.258,-122.070
